,base_X_unscaled,base_X_scaled,MAX
Decision Tree,0.5005973715651135,0.5005973715651135,0.5005973715651135
KNN,0.5244922341696535,0.5770609318996416,0.5770609318996416
Random Forest,0.7574671445639187,0.7562724014336918,0.7574671445639187
SVM,0.3727598566308244,0.7706093189964157,0.7706093189964157
Zero R,0.1111111111111111,0.1111111111111111,0.1111111111111111
Ridge,0.6881720430107527,0.6821983273596177,0.6881720430107527
Logistic Regression,0.5651135005973715,0.6953405017921147,0.6953405017921147
SGD,0.4862604540023895,0.5985663082437276,0.5985663082437276
Passive Agressive,0.5232974910394266,0.6666666666666666,0.6666666666666666
Nearest Centroid,0.2855436081242533,0.5053763440860215,0.5053763440860215
MLP,0.6547192353643967,0.7359617682198327,0.7359617682198327
